ID,Email,Password,Nationality,Gender,Name,Surname,Age,Traveler_Type,Dietary_Restrictions
77,user77@example.com,abcd1234,German,female,Mila,Richter,28,Vacation,"['Halal', 'Vegetarian', 'Gluten-free']"
78,user78@example.com,abcd1234,Indonesian,male,Chandra,Sitohang,36,Educational,"['Halal', 'Vegetarian']"
79,user79@example.com,abcd1234,Indonesian,male,Ivan,Herlambang,52,Educational,"['Vegan', 'Halal', 'Kosher']"
80,user80@example.com,abcd1234,Indonesian,male,Joko,Dewanto,56,Educational,"['Halal', 'Vegan']"
81,user81@example.com,abcd1234,Chinese,male,Muchen,Zhao,43,Educational,"['Halal', 'Vegetarian']"
82,user82@example.com,abcd1234,Japanese,male,Ryota,Takahashi,31,Educational,['Kosher']
83,user83@example.com,abcd1234,Indonesian,female,Irma,Herlambang,41,Educational,"['Halal', 'Gluten-free']"
84,user84@example.com,abcd1234,Indonesian,male,Joko,Sitohang,58,Vacation,['Halal']
85,user85@example.com,abcd1234,Indonesian,female,Irma,Wijaya,18,Business,"['Vegan', 'Lactose-free']"
86,user86@example.com,abcd1234,Indonesian,male,TriWahyu,Dewanto,39,Vacation,['Lactose-free']
87,user87@example.com,abcd1234,German,female,Isabella,Neumann,40,Educational,['Halal']
88,user88@example.com,abcd1234,Japanese,female,Miku,Inoue,36,Business,"['Halal', 'Vegetarian']"
89,user89@example.com,abcd1234,Chinese,female,Li,Liu,35,Business,"['Vegan', 'Vegetarian']"
90,user90@example.com,abcd1234,Dutch,female,Esmee,Kramer,29,Business,"['Halal', 'Kosher', 'Vegan']"
91,user91@example.com,abcd1234,Indonesian,female,Natasha,Wijaya,45,Educational,['Vegan']
92,user92@example.com,abcd1234,German,female,Amelie,Hoffmann,45,Educational,"['Vegan', 'Halal']"
93,user93@example.com,abcd1234,German,male,Finn,Krüger,50,Educational,['Halal']
94,user94@example.com,abcd1234,Japanese,female,Hina,Ishida,36,Vacation,"['Halal', 'Vegetarian']"
95,user95@example.com,abcd1234,German,male,Luca,Hoffmann,45,Educational,"['Halal', 'Gluten-free', 'Kosher']"
96,user96@example.com,abcd1234,Dutch,female,Fleur,Mol,54,Educational,"['Halal', 'Lactose-free']"
97,user97@example.com,abcd1234,Japanese,female,Miyu,Inoue,43,Educational,['Kosher']
98,user98@example.com,abcd1234,Indonesian,male,Erick,Wijaya,52,Educational,['Halal']
99,user99@example.com,abcd1234,Indonesian,female,Puspita,Gunawan,51,Business,"['Halal', 'Vegetarian', 'Kosher']"
100,user100@example.com,abcd1234,Indonesian,male,Muhammad,Gunawan,52,Educational,"['Halal', 'Vegetarian']"
101,user101@example.com,abcd1234,Indonesian,male,Rizky,Dewanto,57,Vacation,"['Halal', 'Kosher', 'Vegetarian']"
102,user102@example.com,abcd1234,Japanese,male,Masato,Yamaguchi,33,Vacation,"['Gluten-free', 'Halal', 'Vegan']"
103,user103@example.com,abcd1234,Indonesian,male,Bayu,Sunandar,55,Educational,"['Halal', 'Vegetarian', 'Lactose-free']"
104,user104@example.com,abcd1234,Japanese,female,Rina,Shimizu,30,Vacation,"['Halal', 'Kosher', 'Vegetarian']"
105,user105@example.com,abcd1234,Chinese,female,Xiang,Xiao,40,Vacation,['Halal']
106,user106@example.com,abcd1234,Indonesian,male,Rizky,Nugroho,39,Educational,"['Gluten-free', 'Lactose-free', 'Halal']"
107,user107@example.com,abcd1234,Indonesian,female,Felicia,Sasmito,33,Business,"['Halal', 'Vegan']"
108,user108@example.com,abcd1234,German,female,Amelie,Neumann,45,Educational,"['Vegan', 'Halal', 'Vegetarian']"
109,user109@example.com,abcd1234,Indonesian,male,Susilo,Sitohang,52,Educational,['Halal']
110,user110@example.com,abcd1234,Indonesian,female,Bintang,Saputra,25,Educational,"['Vegetarian', 'Kosher', 'Halal']"
111,user111@example.com,abcd1234,Indonesian,male,Muhammad,Wijaya,39,Educational,"['Halal', 'Vegetarian']"
112,user112@example.com,abcd1234,Indonesian,male,Abdul,Wijaya,38,Educational,"['Halal', 'Kosher']"
113,user113@example.com,abcd1234,Chinese,female,Xinyi,Gu,43,Educational,['Halal']
114,user114@example.com,abcd1234,American,female,Kathya,Davis,57,Educational,"['Gluten-free', 'Halal']"
115,user115@example.com,abcd1234,Japanese,female,Nao,Inoue,38,Educational,"['Kosher', 'Halal']"
116,user116@example.com,abcd1234,Chinese,male,Haoyu,Zhao,42,Educational,"['Gluten-free', 'Halal']"
117,user117@example.com,abcd1234,American,male,Jarrett,Brown,58,Educational,"['Kosher', 'Halal', 'Vegan']"
118,user118@example.com,abcd1234,Indonesian,female,Marcella,Herlambang,18,Vacation,"['Halal', 'Vegetarian', 'Vegan']"
119,user119@example.com,abcd1234,Chinese,female,Yang,Tian,23,Vacation,['Vegan']
120,user120@example.com,abcd1234,Japanese,female,Mana,Yoshida,40,Educational,"['Vegetarian', 'Halal']"
121,user121@example.com,abcd1234,American,female,Ada,Johnson,40,Vacation,['Vegetarian']
122,user122@example.com,abcd1234,Chinese,male,De,Zhao,40,Business,"['Halal', 'Vegan', 'Vegetarian']"
123,user123@example.com,abcd1234,Indonesian,female,Christine,Herlambang,49,Educational,"['Halal', 'Vegetarian', 'Vegan']"
124,user124@example.com,abcd1234,Indonesian,male,Adrian,Sitohang,47,Business,"['Halal', 'Vegetarian', 'Kosher']"
125,user125@example.com,abcd1234,Indonesian,male,Adrian,Susanto,30,Vacation,"['Kosher', 'Halal']"
126,user126@example.com,abcd1234,Indonesian,female,Siti,Nugroho,35,Educational,"['Vegetarian', 'Halal']"
127,user127@example.com,abcd1234,American,female,Caitlyn,Harden,40,Educational,['Halal']
128,user128@example.com,abcd1234,Chinese,female,Mei,Tian,32,Vacation,['Vegetarian']
129,user129@example.com,abcd1234,Indonesian,male,Agus,Sasmito,50,Educational,"['Vegetarian', 'Halal']"
130,user130@example.com,abcd1234,Japanese,female,Yuka,Yoshida,38,Educational,"['Halal', 'Vegan', 'Gluten-free']"
131,user131@example.com,abcd1234,Indonesian,female,Putri,Hutabarat,56,Vacation,"['Halal', 'Vegetarian', 'Vegan']"
132,user132@example.com,abcd1234,Indonesian,male,Bayu,Kurniawan,40,Vacation,['Halal']
133,user133@example.com,abcd1234,Indonesian,female,Vania,Sasmito,44,Educational,"['Gluten-free', 'Vegetarian', 'Vegan']"
134,user134@example.com,abcd1234,Indonesian,male,Rizky,Simatupang,35,Educational,['Halal']
135,user135@example.com,abcd1234,Chinese,female,Fang,Liu,41,Educational,['Vegan']
136,user136@example.com,abcd1234,Indonesian,male,Yoga,Dewanto,57,Educational,"['Halal', 'Vegan', 'Lactose-free']"
137,user137@example.com,abcd1234,Japanese,female,Aya,Watanabe,59,Educational,"['Halal', 'Gluten-free', 'Vegetarian']"
138,user138@example.com,abcd1234,German,female,Clara,Krüger,24,Vacation,"['Halal', 'Gluten-free']"
139,user139@example.com,abcd1234,Indonesian,male,Bayu,Wulandari,37,Educational,"['Lactose-free', 'Halal']"
140,user140@example.com,abcd1234,Chinese,male,De,Mao,44,Vacation,"['Vegan', 'Vegetarian']"
141,user141@example.com,abcd1234,Chinese,female,Xinyan,Guan,23,Educational,"['Vegetarian', 'Halal']"
142,user142@example.com,abcd1234,Indonesian,male,Kevin,Nugroho,44,Educational,['Halal']
143,user143@example.com,abcd1234,Dutch,male,Daan,Kramer,26,Business,"['Halal', 'Vegan', 'Kosher']"
144,user144@example.com,abcd1234,Indonesian,male,Joko,Saputra,48,Educational,"['Halal', 'Vegan', 'Kosher']"
145,user145@example.com,abcd1234,Indonesian,male,Bambang,Nugroho,38,Vacation,['Halal']
146,user146@example.com,abcd1234,Indonesian,female,Siti,Gunawan,43,Vacation,['Vegan']
147,user147@example.com,abcd1234,Japanese,female,Akari,Yamaguchi,57,Educational,['Gluten-free']
148,user148@example.com,abcd1234,Japanese,male,Haruki,Yoshida,30,Vacation,['Vegan']
149,user149@example.com,abcd1234,Indonesian,male,Abdul,Sitohang,40,Educational,"['Halal', 'Lactose-free', 'Kosher']"
150,user150@example.com,abcd1234,Indonesian,male,Bambang,Herlambang,37,Business,"['Halal', 'Vegan', 'Gluten-free']"
151,user151@example.com,abcd1234,Chinese,male,Da,Guan,54,Educational,"['Halal', 'Vegan', 'Kosher']"
152,user152@example.com,abcd1234,Indonesian,female,Mega,Sitohang,45,Educational,"['Halal', 'Vegetarian']"
153,user153@example.com,abcd1234,Indonesian,female,Fitri,Sasmito,34,Educational,"['Halal', 'Kosher', 'Lactose-free']"
154,user154@example.com,abcd1234,Dutch,male,Thijs,Vermeulen,45,Vacation,['Halal']
155,user155@example.com,abcd1234,Chinese,male,Mingze,Xi,58,Educational,"['Vegetarian', 'Halal', 'Vegan']"
156,user156@example.com,abcd1234,Indonesian,male,Cahya,Wulandari,19,Vacation,['Vegetarian']
157,user157@example.com,abcd1234,Japanese,female,Hikari,Yamada,42,Business,"['Halal', 'Vegetarian', 'Gluten-free']"
158,user158@example.com,abcd1234,German,male,Jonas,Fischer,58,Vacation,"['Halal', 'Kosher']"
159,user159@example.com,abcd1234,Indonesian,female,Felicia,Sasmito,23,Business,['Halal']
160,user160@example.com,abcd1234,German,male,Maximilian,Becker,28,Educational,['Kosher']
161,user161@example.com,abcd1234,Indonesian,female,Michelle,Sitohang,55,Vacation,"['Halal', 'Vegan', 'Kosher']"
162,user162@example.com,abcd1234,Japanese,male,Yukihiro,Kobayashi,23,Educational,['Vegan']
163,user163@example.com,abcd1234,Japanese,female,Mio,Ishida,28,Educational,['Vegetarian']
164,user164@example.com,abcd1234,Japanese,male,Toshiaki,Kato,31,Vacation,"['Vegan', 'Halal']"
165,user165@example.com,abcd1234,Indonesian,male,Budi,Gunawan,19,Educational,['Halal']
166,user166@example.com,abcd1234,American,male,Harrison,Smith,57,Business,"['Halal', 'Vegetarian']"
167,user167@example.com,abcd1234,Indonesian,female,Lestari,Sasmito,20,Vacation,['Halal']
168,user168@example.com,abcd1234,Indonesian,male,Susilo,Nugroho,52,Business,['Halal']
169,user169@example.com,abcd1234,Indonesian,female,Dewi,Santoso,50,Educational,"['Kosher', 'Halal']"
170,user170@example.com,abcd1234,Japanese,female,Ayaka,Matsumoto,41,Educational,"['Halal', 'Vegetarian']"
171,user171@example.com,abcd1234,Japanese,male,Takashi,Nakamura,36,Vacation,['Kosher']
172,user172@example.com,abcd1234,Indonesian,male,Restu,Simatupang,35,Vacation,['Vegetarian']
173,user173@example.com,abcd1234,Japanese,male,Kaito,Ishida,41,Educational,"['Halal', 'Vegan', 'Lactose-free']"
174,user174@example.com,abcd1234,Indonesian,female,Vania,Gunawan,52,Vacation,"['Kosher', 'Halal', 'Vegetarian']"
175,user175@example.com,abcd1234,Japanese,male,Ryota,Shimizu,18,Educational,"['Lactose-free', 'Halal', 'Vegan']"
176,user176@example.com,abcd1234,Indonesian,female,Felicia,Dewanto,53,Educational,"['Halal', 'Gluten-free']"
177,user177@example.com,abcd1234,Japanese,female,Asuka,Kimura,42,Vacation,"['Vegetarian', 'Halal']"
178,user178@example.com,abcd1234,Indonesian,male,Restu,Herlambang,51,Educational,"['Halal', 'Lactose-free']"
179,user179@example.com,abcd1234,Chinese,male,Yang,Yan,42,Vacation,"['Lactose-free', 'Vegetarian', 'Halal']"
180,user180@example.com,abcd1234,Indonesian,male,TriWahyu,Hutabarat,33,Educational,['Vegetarian']
181,user181@example.com,abcd1234,Indonesian,male,Ivan,Kurniawan,51,Educational,"['Halal', 'Vegetarian', 'Lactose-free']"
182,user182@example.com,abcd1234,Indonesian,male,Chandra,Nugroho,46,Vacation,"['Kosher', 'Halal', 'Lactose-free']"
183,user183@example.com,abcd1234,Chinese,male,Xiaoyang,Guan,36,Business,['Vegetarian']
184,user184@example.com,abcd1234,Chinese,female,Fang,Gu,40,Educational,"['Gluten-free', 'Vegan']"
185,user185@example.com,abcd1234,Indonesian,female,Dewi,Santoso,36,Educational,"['Halal', 'Gluten-free']"
186,user186@example.com,abcd1234,Japanese,female,Miyu,Yoshida,42,Business,['Halal']
187,user187@example.com,abcd1234,American,male,Samuel,Anderson,33,Educational,"['Halal', 'Lactose-free', 'Vegetarian']"
188,user188@example.com,abcd1234,Japanese,female,Sakura,Yamada,26,Vacation,['Vegan']
189,user189@example.com,abcd1234,Japanese,female,Rina,Nakamura,18,Vacation,"['Kosher', 'Halal', 'Vegetarian']"
190,user190@example.com,abcd1234,Indonesian,female,Siti,Gunawan,59,Educational,"['Vegan', 'Halal', 'Kosher']"
191,user191@example.com,abcd1234,Indonesian,female,Dewi,Nugroho,36,Vacation,['Halal']
192,user192@example.com,abcd1234,Chinese,female,Hua,Yang,50,Educational,['Lactose-free']
193,user193@example.com,abcd1234,Chinese,male,Yize,Zhang,51,Vacation,"['Halal', 'Vegan', 'Kosher']"
194,user194@example.com,abcd1234,Japanese,male,Yuta,Sasaki,33,Educational,"['Halal', 'Vegetarian', 'Kosher']"
195,user195@example.com,abcd1234,Indonesian,female,Lestari,Herlambang,57,Vacation,"['Lactose-free', 'Vegetarian']"
196,user196@example.com,abcd1234,Indonesian,female,Marcella,Kurniawan,35,Educational,['Kosher']
197,user197@example.com,abcd1234,German,female,Lina,Fischer,51,Educational,"['Vegan', 'Vegetarian']"
198,user198@example.com,abcd1234,Chinese,male,Haoran,Xiao,42,Vacation,"['Halal', 'Kosher', 'Vegetarian']"
199,user199@example.com,abcd1234,Chinese,male,Fu,Yang,23,Educational,['Gluten-free']
200,user200@example.com,abcd1234,German,female,Mia,Müller,38,Vacation,['Halal']
201,user201@example.com,abcd1234,Japanese,male,Takashi,Tanaka,23,Business,['Halal']
202,user202@example.com,abcd1234,Indonesian,male,Kevin,Gunawan,49,Educational,['Halal']
203,user203@example.com,abcd1234,Indonesian,female,Siti,Saputra,58,Vacation,['Halal']
204,user204@example.com,abcd1234,Chinese,male,Wente,Xi,56,Educational,"['Vegetarian', 'Halal']"
205,user205@example.com,abcd1234,Japanese,male,Daisuke,Nakamura,48,Educational,"['Halal', 'Vegan', 'Vegetarian']"
206,user206@example.com,abcd1234,Indonesian,female,Rini,Simatupang,59,Educational,['Halal']
207,user207@example.com,abcd1234,Indonesian,male,Putra,Sunandar,27,Business,['Vegetarian']
208,user208@example.com,abcd1234,Japanese,male,Takashi,Yoshida,47,Vacation,['Halal']
209,user209@example.com,abcd1234,Indonesian,female,Cindy,Gunawan,35,Vacation,"['Halal', 'Kosher']"
210,user210@example.com,abcd1234,Indonesian,male,Ahmad,Nugroho,41,Educational,['Halal']
211,user211@example.com,abcd1234,Japanese,male,Ryosuke,Nakamura,26,Educational,"['Halal', 'Vegan']"
212,user212@example.com,abcd1234,Japanese,female,Akari,Nakamura,48,Educational,"['Vegan', 'Halal']"
213,user213@example.com,abcd1234,Japanese,female,Yui,Kimura,32,Business,['Vegetarian']
214,user214@example.com,abcd1234,Indonesian,female,Mega,Nugroho,21,Vacation,['Halal']
215,user215@example.com,abcd1234,German,male,Lukas,Schwarz,57,Vacation,"['Gluten-free', 'Halal', 'Lactose-free']"
216,user216@example.com,abcd1234,Indonesian,female,Valerie,Hutabarat,26,Business,['Gluten-free']
217,user217@example.com,abcd1234,Indonesian,male,Ahmad,Hutabarat,26,Vacation,['Halal']
218,user218@example.com,abcd1234,German,female,Johanna,Hoffmann,43,Vacation,"['Halal', 'Vegan', 'Vegetarian']"
219,user219@example.com,abcd1234,Japanese,male,Naoki,Yamamoto,21,Vacation,"['Vegetarian', 'Halal']"
220,user220@example.com,abcd1234,American,female,Ada,Harden,34,Business,"['Vegetarian', 'Halal']"
221,user221@example.com,abcd1234,Japanese,female,Sakura,Sasaki,33,Business,['Halal']
222,user222@example.com,abcd1234,Japanese,female,Nao,Matsumoto,32,Business,"['Halal', 'Lactose-free', 'Vegetarian']"
223,user223@example.com,abcd1234,Indonesian,female,Rizky,Sunandar,52,Vacation,"['Vegan', 'Halal', 'Lactose-free']"
224,user224@example.com,abcd1234,Indonesian,male,Budi,Sitohang,22,Vacation,['Vegetarian']
225,user225@example.com,abcd1234,Indonesian,female,Bintang,Wulandari,22,Educational,"['Halal', 'Vegetarian', 'Vegan']"
226,user226@example.com,abcd1234,Indonesian,female,Christine,Sasmito,37,Business,"['Vegetarian', 'Halal']"
227,user227@example.com,abcd1234,Chinese,male,Yize,Ma,32,Vacation,"['Halal', 'Vegetarian', 'Vegan']"
228,user228@example.com,abcd1234,Indonesian,female,Michelle,Wijaya,35,Vacation,"['Gluten-free', 'Halal', 'Lactose-free']"
229,user229@example.com,abcd1234,Chinese,male,Wei,Tian,19,Vacation,['Kosher']
230,user230@example.com,abcd1234,Japanese,female,Mai,Shibata,46,Business,"['Halal', 'Lactose-free', 'Vegan']"
231,user231@example.com,abcd1234,German,female,Sarah,Fischer,30,Vacation,['Lactose-free']
232,user232@example.com,abcd1234,Japanese,female,Miyu,Kato,21,Educational,"['Halal', 'Gluten-free']"
233,user233@example.com,abcd1234,Japanese,male,Shota,Kimura,59,Vacation,"['Vegan', 'Halal', 'Gluten-free']"
234,user234@example.com,abcd1234,Dutch,female,Anna,Veenstra,27,Business,['Vegan']
235,user235@example.com,abcd1234,Indonesian,female,Dewi,Dewanto,48,Educational,"['Kosher', 'Lactose-free', 'Halal']"
236,user236@example.com,abcd1234,German,female,Johanna,Wagner,58,Vacation,"['Halal', 'Vegetarian']"
237,user237@example.com,abcd1234,Indonesian,male,Abdul,Dewanto,25,Vacation,"['Vegan', 'Gluten-free']"
238,user238@example.com,abcd1234,Indonesian,male,Agus,Dewanto,20,Educational,"['Halal', 'Vegan']"
239,user239@example.com,abcd1234,Japanese,female,Hina,Inoue,26,Educational,"['Lactose-free', 'Halal']"
240,user240@example.com,abcd1234,Indonesian,male,Ivan,Hutabarat,47,Vacation,['Vegan']
241,user241@example.com,abcd1234,Chinese,female,Yuming,Yan,28,Vacation,"['Halal', 'Vegetarian', 'Vegan']"
242,user242@example.com,abcd1234,Chinese,female,Yuming,Fu,52,Vacation,['Kosher']
243,user243@example.com,abcd1234,Chinese,female,Xinyi,Ye,54,Business,"['Halal', 'Kosher']"
244,user244@example.com,abcd1234,Indonesian,female,Fitri,Wulandari,59,Educational,['Halal']
245,user245@example.com,abcd1234,Indonesian,female,Mega,Sasmito,30,Business,['Vegetarian']
246,user246@example.com,abcd1234,Chinese,female,Jing,Mao,53,Vacation,['Halal']
247,user247@example.com,abcd1234,Indonesian,female,Vania,Santoso,30,Educational,"['Halal', 'Vegan']"
248,user248@example.com,abcd1234,Chinese,male,Yichen,Xiao,29,Educational,"['Halal', 'Vegan']"
249,user249@example.com,abcd1234,Chinese,male,Wente,Zhao,54,Vacation,['Halal']
250,user250@example.com,abcd1234,Chinese,male,Wente,Tian,27,Educational,"['Halal', 'Vegetarian']"
251,user251@example.com,abcd1234,Indonesian,male,Bambang,Hutabarat,26,Vacation,['Vegan']
252,user252@example.com,abcd1234,Indonesian,male,Putra,Sitohang,24,Educational,"['Halal', 'Lactose-free', 'Kosher']"
253,user253@example.com,abcd1234,Chinese,male,Hao,Wang,19,Vacation,['Kosher']
254,user254@example.com,abcd1234,Indonesian,male,Restu,Kurniawan,40,Business,"['Lactose-free', 'Halal', 'Gluten-free']"
255,user255@example.com,abcd1234,Indonesian,female,Michelle,Sasmito,56,Vacation,['Vegetarian']
256,user256@example.com,abcd1234,Japanese,female,Mai,Yamada,57,Vacation,"['Halal', 'Vegan', 'Kosher']"
